time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2025-06-04,125345,7756173,1753693994,1753693994,1.164431392645434405,73090526791.2776769633991708176,0,0,0.000009549450383416705,1.00061857840915,0.05181638821054973,0.0676761340372377,73045342519.506144,186251,233104,241465322.334262
2025-06-05,134028,7765516,1753693994,1753693994,1.164059635281508204,73089695879.59919904115106695104,0,0,0.000009841828777187928,1.00061076478466,0.04761262051615883,0.05662975536682581,73045082515.506144,191976,248737,350762970.576463
2025-06-06,140345,7774832,1753693995,1753693995,1.173643284052899321,73105608074.51393115840287076096,0,0,0.000009584548236954845,1.00082860552584,0.11703240140422846,0.0557435153326638,73045082515.506144,200832,272075,257048039.847647
2025-06-07,144570,7779962,1753693995,1753693995,1.172974367959363619,73089072152.85136577166881432544,0,0,0.000009467756589013012,1.00060222585601,0.10311912039440166,0.06760732438681488,73045082515.506144,182438,258129,124197885.707655
2025-06-08,135967,7790848,1753693995,1753693995,1.17247860249786098,73084847957.88870669051965594208,0,0,0.000009463404773094709,1.00054439588557,0.06048411009140712,0.04485151802775002,73045082515.506144,172578,244120,96964380.5351481
2025-06-09,136502,7801839,1753693995,1753693995,1.170259978035034434,73037699143.05603190476337996032,0,0,0.00000907364453276537,0.99989892033528,-0.0038573637832811235,0.008645730196348114,73045082515.506144,191819,254551,339173272.438532
2025-06-10,141707,7811944,1753693996,1753693996,1.169139322740964589,73052232636.98390997341768700768,0,0,0.000009085676948952401,1.00009788641797,0.05354749793946828,-0.00252231520404193,73045082515.506144,201321,269728,404455756.708026
2025-06-11,155942,7821479,1753693996,1753693996,1.168802839864522222,73068190695.3172230322650497856,0,0,0.000009207134449793982,1.0003163550374,0.029142403940455645,0.04032653188192923,73045082515.506144,212949,296530,368248573.232706
2025-06-12,142636,7828011,1753693996,1753693996,1.165993595025100729,73078884849.35351037878508188928,0,0,0.000009438418226756348,1.00046275988312,0.07548116306514843,0.024143405010563928,73045082515.506144,212912,288737,361664819.131534
2025-06-13,149575,7833758,1753693996,1753693996,1.165284664667702645,73078881423.87660868276856667456,0,0,0.000009436117819308857,1.00046271298774,0.09184942958237398,0.04615286940164247,73045082515.506144,214559,295626,367000676.470094
