time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI30d,SplyCur,TxCnt,TxTfrCnt
2018-01-22,9306,225430,1614335056,1614335056,2.6335943,13572127092.3409,0,0,0.0012640107999134216,13.5721270923409,53.11898649532672,1000000000,11747,11674
2018-01-23,8606,227203,1614335056,1614335056,2.57304786,12989608121.0022,0,0,0.001197266009514623,12.9896081210022,56.87335793697882,1000000000,10782,10716
2018-01-24,8124,229141,1614335056,1614335056,2.64379687,13663014004.6833,0,0,0.0012170978416327306,13.6630140046833,63.0547848239044,1000000000,9872,9808
2018-01-25,8244,231028,1614335056,1614335056,2.71433875,14267227923.2325,0,0,0.0012818177848506007,14.2672279232325,65.92016243920533,1000000000,10445,10367
2018-01-26,7568,232878,1614335056,1614335056,2.68432206,14181686140.8307,0,0,0.001285090477295765,14.1816861408307,62.73939562824159,1000000000,9459,9400
2018-01-27,7620,234732,1614335057,1614335057,2.62948202,14115736380.9988,0,0,0.0012468663153413209,14.1157363809988,73.17741446447035,1000000000,9086,9036
2018-01-28,8839,235362,1614335057,1614335057,2.61796957,14256915476.7756,0,0,0.0012273559015779753,14.2569154767756,70.93179732858911,1000000000,10867,10807
2018-01-29,6976,237267,1614335057,1614335057,2.46757673,13364907310.4107,0,0,0.0012005247792756448,13.3649073104107,78.9352677443398,1000000000,8923,8876
2018-01-30,10456,239262,1614335057,1614335057,2.1530743,11084141468.4826,0,0,0.001112916258666252,11.0841414684826,42.694204087692455,1000000000,13216,13183
2018-01-31,7313,240791,1614335057,1614335057,2.23667135,11597628251.8075,0,0,0.001153981861052994,11.5976282518075,49.83595385670769,1000000000,9893,9850
2018-02-01,7809,242385,1614335057,1614335057,1.97976096,9897763069.94827,0,0,0.0010949016371061583,9.89776306994827,19.111472369569967,1000000000,10515,10527
2018-02-02,8315,244257,1614335057,1614335057,2.02703036,10174416863.4275,0,0,0.0011580158497931784,10.1744168634275,11.854251122530682,1000000000,11707,11790
2018-02-03,6201,245908,1614335057,1614335057,2.07610641,10483079085.515,0,0,0.001147937354552052,10.483079085515,10.119301933214153,1000000000,7985,8017
2018-02-04,6620,247310,1614335057,1614335057,1.83464432,8994540694.25874,0,0,0.0010901777313949649,8.99454069425874,-2.1545025915581166,1000000000,9233,9262
2018-02-05,7096,248405,1614335057,1614335057,1.48860236,6980434988.96772,0,0,0.0010191096600265005,6.98043498896772,-28.49556778736565,1000000000,10080,10149
2018-02-06,8252,249091,1614335057,1614335057,1.72269962,8344088172.93584,0,0,0.001078236473524069,8.34408817293584,-18.102277876175418,1000000000,11631,11674
2018-02-07,5937,250149,1614335057,1614335057,1.59257705,7611406917.77319,0,0,0.0009982702725729964,7.61140691777319,-21.63438170008007,1000000000,8009,8050
2018-02-08,4384,250671,1614335057,1614335057,1.69199994,8211646842.58067,0,0,0.0009991563009009265,8.21164684258067,-11.532730561687982,1000000000,5454,5461
2018-02-09,5542,251640,1614335057,1614335057,1.89291353,9475971400.46906,0,0,0.0010941657311180023,9.47597140046906,-15.39113879571206,1000000000,7006,7047
2018-02-10,6432,252967,1614335057,1614335057,1.78829785,8868527548.90483,0,0,0.0010396510122046786,8.86852754890483,-20.82639877690989,1000000000,8297,8277
2018-02-11,5388,253578,1614335058,1614335058,1.70262287,8405455730.18614,0,0,0.0010381298754925244,8.40545573018614,-37.77933599363073,1000000000,6914,6911
2018-02-12,4830,254605,1614335058,1614335058,1.82103646,9168757927.12349,0,0,0.0010293104417583895,9.16875792712349,-42.93505881794485,1000000000,6052,6055
2018-02-13,4774,256188,1614335058,1614335058,1.77245852,8896319530.82282,0,0,0.0010436830177646143,8.89631953082282,-33.592881227076724,1000000000,5997,5960
2018-02-14,5828,257601,1614335058,1614335058,1.90944823,9861761351.49689,0,0,0.0010416655515023555,9.86176135149689,-23.328126517116587,1000000000,7971,7695
2018-02-15,5143,258986,1614335058,1614335058,1.90369893,9880180584.69707,0,0,0.000977584002960564,9.88018058469707,-4.409188559952519,1000000000,10663,6377
2018-02-16,4438,260247,1614335058,1614335058,1.88038907,9816353129.22965,0,0,0.0009633966267783371,9.81635312922965,-3.5948310941370964,1000000000,14606,5503
2018-02-17,4968,261345,1614335058,1614335058,1.9065368,10048214483.1655,0,0,0.0009064205744755599,10.0482144831655,-3.4364194866478917,1000000000,17618,6140
