time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-02-23,4.0,1612532121.0,4987867.27369430245695,0.0,0.0,43507.743002938531,,1.0,9972.84242308591,,18.394628394079717,500.145,3.0,3.0,0.01149554,114.6432089882810018414,0.0056694,56.540032833443258154,0.00551266,54.9768895120487726206,0.0170082,169.620098500329774462,,0.026096298370267657,0.02649923400247302
2020-02-24,4.0,1612532135.0,4825402.90269769584705,0.0,0.0,250.0725,,1.0,9648.00788310929,,15.617357945061045,500.145,4.0,4.0,2.0,19296.01576621858,1.1,10612.808671420219,1.1,10612.808671420219,4.4,42451.234685680876,,0.026913997550536094,0.026956986800402854
2020-02-25,5.0,1612532152.0,4673498.49168206855895,0.0,0.0,27.846008557827,,1.0,9344.28714009351,,8.985579421420956,500.145,6.0,6.0,17.961102,167833.69444050782264802,2.993517,27972.28240675130377467,4.0,37377.14856037404,17.961102,167833.69444050782264802,,0.02738692338971029,0.027373448567026778
2020-02-26,5.0,1612532170.0,4400720.31318158737305,0.0,0.0,45.268887880373,,1.0,8798.88894856809,,-1.1578387745473813,500.145,6.0,6.0,11.04831648,97212.9097761547011491232,2.174719413333333333,19135.11461221514685525423701714397,2.0,17597.77789713618,13.04831648,114810.6876732908811491232,,0.028887531406303745,0.028596313697933994
2020-02-27,6.0,1612532188.0,4390787.7002158428813,0.0,0.0,8.166888479169,,1.0,8779.02948188194,,-5.575316616436134,500.145,6.0,6.0,61.24058156,537632.8710028354888610264,18.757726353333333333,164674.63266898714513046579017270602,4.9674025,43608.97299587405346085,112.54635812,988047.7960139228708003528,,0.02767493716767539,0.028582661612188018
2020-02-28,4.0,1612532204.0,6214190.18270717739105,210.0,1837624.6236592629,3.381391281632,,1.0,8750.59344599649,,-6.028321088799747,710.145,2.0,2.0,210.015624,1837761.34293126314915976,105.007812,918880.67146563157457988,105.007812,918880.67146563157457988,210.015624,1837761.34293126314915976,,0.027668029878083537,0.028405321158574377
2020-02-29,5.0,1612532219.0,6094528.51584447345285,0.0,0.0,4203.426809901251,,1.0,8582.09029964933,,-9.746959394251425,710.145,3.0,3.0,0.1689443,1449.895238211046302319,0.059581433333333333,511.33324104920324257896990011689,0.0098,84.104484936563434,0.1787443,1533.999723147609736319,,0.02749187100271257,0.028515752762192887
2020-03-01,9.0,1612532233.0,6065898.02189901854505,0.0,0.0,117.01861204716,,1.0,8541.77389392169,,-8.715251351753786,710.145,15.0,15.0,6.06865,51837.0361413478640185,0.808387100666666667,6905.05983265757853832738463130723,0.05090949,434.8573526348673378381,12.12580651,103575.8974898636780322019,,0.02738955861732987,0.028531353991548387
2020-03-02,0.0,1612532248.0,6324703.87822501554045,0.0,0.0,,,1.0,8906.21475645821,,-5.070102863411719,710.145,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.028576032195450882,0.028597075075994065
2020-03-03,2.0,1612532262.0,6227127.0136226355219,0.0,0.0,,,1.0,8768.81061420222,,-6.1093564819883035,710.145,2.0,2.0,0.0,0.0,1.0005,8773.19501950932111,1.0005,8773.19501950932111,2.001,17546.39003901864222,,0.028683773571102328,0.028013832583953815
