time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2024-03-17,0,233,1746000950,1746000950,,0,,,,,153275037.335863254032013728,0,0,0
2024-03-18,3,233,1746000950,1746000950,,0,,,,,153295513.005937559317898752,1,2,12033.0934458908
2024-03-19,13,234,1746000950,1746000950,,999999.999999999999999999,,,,,154315988.676011864603783776,7,9,10003.6425562683
2024-03-20,0,234,1746000950,1746000950,,0,,,,,154336597.898171970768383036,0,0,0
2024-03-21,0,234,1746000950,1746000950,,0,,,,,154357207.120332076932982295,0,0,0
2024-03-22,13,236,1746000950,1746000950,,0,,,,,154377816.342492183097581554,8,14,392013.22358607
2024-03-23,8,240,1746000950,1746000950,,0,,,,,154398425.564652289262180813,3,6,0
2024-03-24,0,240,1746000951,1746000951,,0,,,,,154419034.786812395426780073,0,0,0
2024-03-25,7,243,1746000951,1746000951,,0,,,,,154439644.008972501591379332,5,5,0
2024-03-26,5,243,1746000951,1746000951,,0,,,,,154460253.231132607755978591,4,8,71022.3850361383
2024-03-27,4,244,1746000951,1746000951,,0,,,,,154480862.453292713920577851,2,3,4255.42541056246
2024-03-28,5,245,1746000951,1746000951,,0,,,,,154501471.67545282008517711,3,5,25027.3226992545
2024-03-29,9,247,1746000951,1746000951,,0,,,,,154522080.897612926249776369,15,29,1431184.21203067
2024-03-30,7,248,1746000951,1746000951,,0,,,,,154542690.119773032414375629,4,6,121213.74294298
2024-03-31,18,251,1746000951,1746000951,,0,,,,,154563299.341933138578974888,21,35,595883.342732391
2024-04-01,18,254,1746000951,1746000951,,0,,,,,154583908.564093244743574147,30,50,728606.023853572
2024-04-02,15,256,1746000952,1746000952,,0,,,,,80298229.496580005884146502,20,29,657532.031143187
2024-04-03,24,262,1746000952,1746000952,,0,,,,,80308933.479066767024718856,47,84,1055825.69926874
2024-04-04,20,265,1746000952,1746000952,,0,,,,,80319637.461553528165291209,40,63,1117225.58760455
2024-04-05,18,265,1746000952,1746000952,,0,,,,,80330341.444040289305863563,19,30,651023.819161555
2024-04-06,15,267,1746000952,1746000952,,0,,,,,80341045.426527050446435917,20,33,250069.373432633
2024-04-07,8,267,1746000952,1746000952,,0,,,,,80351749.409013811587008271,6,12,175435.66001456
2024-04-08,17,271,1746000952,1746000952,,0,,,,,80362453.391500572727580625,24,44,507613.604403936
2024-04-09,17,272,1746000952,1746000952,,0,,,,,80373157.373987333868152979,18,27,511456.855124286
2024-04-10,20,279,1746000952,1746000952,,0,,,,,80383861.356474095008725332,24,38,407054.868870316
2024-04-11,16,281,1746000952,1746000952,,0,,,,,80383861.356474095008725332,23,40,797178.39240522
2024-04-12,18,281,1746000953,1746000953,,0,,,,,78394565.338960856149297687,25,41,902851.266608231
2024-04-13,15,283,1746000953,1746000953,,0,,,,,78394565.338960856149297687,35,66,941573.472171165
2024-04-14,12,284,1746000953,1746000953,,0,,,,,78394565.338960856149297687,33,61,1406094.05228569
2024-04-15,16,284,1746000953,1746000953,,0,,,,,78394565.338960856149297687,25,40,108085.652379156
2024-04-16,10,285,1746000953,1746000953,,0,,,,,78394565.338960856149297687,18,34,151161.688437195
